date,location,source,value,class
2020-03-29,Miami,venues google,18.0,residential
2020-03-29,Miami,venues google,-57.0,retail_and_recreation
2020-03-29,Miami,venues google,-35.0,grocery_and_pharmacy
2020-03-29,Miami,venues google,-71.0,transit_stations
2020-03-29,Miami,venues google,-46.0,workplaces
2020-03-29,Miami,venues google,-77.0,parks
2020-03-30,Miami,venues google,24.0,residential
2020-03-30,Miami,venues google,-49.0,retail_and_recreation
2020-03-30,Miami,venues google,-29.0,grocery_and_pharmacy
2020-03-30,Miami,venues google,-63.0,transit_stations
2020-03-30,Miami,venues google,-48.0,workplaces
2020-03-30,Miami,venues google,-67.0,parks
2020-03-31,Miami,venues google,25.0,residential
2020-03-31,Miami,venues google,-48.0,retail_and_recreation
2020-03-31,Miami,venues google,-28.0,grocery_and_pharmacy
2020-03-31,Miami,venues google,-62.0,transit_stations
2020-03-31,Miami,venues google,-50.0,workplaces
2020-03-31,Miami,venues google,-68.0,parks
2020-04-01,Miami,venues google,25.0,residential
2020-04-01,Miami,venues google,-47.0,retail_and_recreation
2020-04-01,Miami,venues google,-22.0,grocery_and_pharmacy
2020-04-01,Miami,venues google,-63.0,transit_stations
2020-04-01,Miami,venues google,-50.0,workplaces
2020-04-01,Miami,venues google,-70.0,parks
2020-04-02,Miami,venues google,26.0,residential
2020-04-02,Miami,venues google,-48.0,retail_and_recreation
2020-04-02,Miami,venues google,-19.0,grocery_and_pharmacy
2020-04-02,Miami,venues google,-65.0,transit_stations
2020-04-02,Miami,venues google,-51.0,workplaces
2020-04-02,Miami,venues google,-70.0,parks
2020-04-03,Miami,venues google,28.0,residential
2020-04-03,Miami,venues google,-50.0,retail_and_recreation
2020-04-03,Miami,venues google,-21.0,grocery_and_pharmacy
2020-04-03,Miami,venues google,-66.0,transit_stations
2020-04-03,Miami,venues google,-51.0,workplaces
2020-04-03,Miami,venues google,-70.0,parks
2020-04-04,Miami,venues google,21.0,residential
2020-04-04,Miami,venues google,-56.0,retail_and_recreation
2020-04-04,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-04,Miami,venues google,-68.0,transit_stations
2020-04-04,Miami,venues google,-47.0,workplaces
2020-04-04,Miami,venues google,-78.0,parks
2020-04-05,Miami,venues google,19.0,residential
2020-04-05,Miami,venues google,-60.0,retail_and_recreation
2020-04-05,Miami,venues google,-36.0,grocery_and_pharmacy
2020-04-05,Miami,venues google,-73.0,transit_stations
2020-04-05,Miami,venues google,-48.0,workplaces
2020-04-05,Miami,venues google,-80.0,parks
2020-04-06,Miami,venues google,26.0,residential
2020-04-06,Miami,venues google,-52.0,retail_and_recreation
2020-04-06,Miami,venues google,-30.0,grocery_and_pharmacy
2020-04-06,Miami,venues google,-67.0,transit_stations
2020-04-06,Miami,venues google,-52.0,workplaces
2020-04-06,Miami,venues google,-72.0,parks
2020-04-07,Miami,venues google,27.0,residential
2020-04-07,Miami,venues google,-52.0,retail_and_recreation
2020-04-07,Miami,venues google,-29.0,grocery_and_pharmacy
2020-04-07,Miami,venues google,-65.0,transit_stations
2020-04-07,Miami,venues google,-53.0,workplaces
2020-04-07,Miami,venues google,-69.0,parks
2020-04-08,Miami,venues google,27.0,residential
2020-04-08,Miami,venues google,-52.0,retail_and_recreation
2020-04-08,Miami,venues google,-30.0,grocery_and_pharmacy
2020-04-08,Miami,venues google,-65.0,transit_stations
2020-04-08,Miami,venues google,-53.0,workplaces
2020-04-08,Miami,venues google,-70.0,parks
2020-04-09,Miami,venues google,27.0,residential
2020-04-09,Miami,venues google,-52.0,retail_and_recreation
2020-04-09,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-09,Miami,venues google,-65.0,transit_stations
2020-04-09,Miami,venues google,-54.0,workplaces
2020-04-09,Miami,venues google,-71.0,parks
2020-04-10,Miami,venues google,31.0,residential
2020-04-10,Miami,venues google,-53.0,retail_and_recreation
2020-04-10,Miami,venues google,-26.0,grocery_and_pharmacy
2020-04-10,Miami,venues google,-68.0,transit_stations
2020-04-10,Miami,venues google,-58.0,workplaces
2020-04-10,Miami,venues google,-71.0,parks
2020-04-11,Miami,venues google,22.0,residential
2020-04-11,Miami,venues google,-58.0,retail_and_recreation
2020-04-11,Miami,venues google,-33.0,grocery_and_pharmacy
2020-04-11,Miami,venues google,-71.0,transit_stations
2020-04-11,Miami,venues google,-48.0,workplaces
2020-04-11,Miami,venues google,-81.0,parks
2020-04-12,Miami,venues google,19.0,residential
2020-04-12,Miami,venues google,-67.0,retail_and_recreation
2020-04-12,Miami,venues google,-48.0,grocery_and_pharmacy
2020-04-12,Miami,venues google,-73.0,transit_stations
2020-04-12,Miami,venues google,-50.0,workplaces
2020-04-12,Miami,venues google,-79.0,parks
2020-04-13,Miami,venues google,25.0,residential
2020-04-13,Miami,venues google,-52.0,retail_and_recreation
2020-04-13,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-13,Miami,venues google,-66.0,transit_stations
2020-04-13,Miami,venues google,-50.0,workplaces
2020-04-13,Miami,venues google,-69.0,parks
2020-04-14,Miami,venues google,26.0,residential
2020-04-14,Miami,venues google,-52.0,retail_and_recreation
2020-04-14,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-14,Miami,venues google,-64.0,transit_stations
2020-04-14,Miami,venues google,-51.0,workplaces
2020-04-14,Miami,venues google,-68.0,parks
2020-04-15,Miami,venues google,26.0,residential
2020-04-15,Miami,venues google,-49.0,retail_and_recreation
2020-04-15,Miami,venues google,-25.0,grocery_and_pharmacy
2020-04-15,Miami,venues google,-63.0,transit_stations
2020-04-15,Miami,venues google,-51.0,workplaces
2020-04-15,Miami,venues google,-68.0,parks
2020-04-16,Miami,venues google,26.0,residential
2020-04-16,Miami,venues google,-50.0,retail_and_recreation
2020-04-16,Miami,venues google,-26.0,grocery_and_pharmacy
2020-04-16,Miami,venues google,-64.0,transit_stations
2020-04-16,Miami,venues google,-51.0,workplaces
2020-04-16,Miami,venues google,-70.0,parks
2020-04-17,Miami,venues google,27.0,residential
2020-04-17,Miami,venues google,-50.0,retail_and_recreation
2020-04-17,Miami,venues google,-24.0,grocery_and_pharmacy
2020-04-17,Miami,venues google,-65.0,transit_stations
2020-04-17,Miami,venues google,-50.0,workplaces
2020-04-17,Miami,venues google,-68.0,parks
2020-04-18,Miami,venues google,20.0,residential
2020-04-18,Miami,venues google,-54.0,retail_and_recreation
2020-04-18,Miami,venues google,-27.0,grocery_and_pharmacy
2020-04-18,Miami,venues google,-66.0,transit_stations
2020-04-18,Miami,venues google,-43.0,workplaces
2020-04-18,Miami,venues google,-75.0,parks
2020-04-19,Miami,venues google,17.0,residential
2020-04-19,Miami,venues google,-56.0,retail_and_recreation
2020-04-19,Miami,venues google,-30.0,grocery_and_pharmacy
2020-04-19,Miami,venues google,-71.0,transit_stations
2020-04-19,Miami,venues google,-43.0,workplaces
2020-04-19,Miami,venues google,-75.0,parks
2020-04-20,Miami,venues google,24.0,residential
2020-04-20,Miami,venues google,-48.0,retail_and_recreation
2020-04-20,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-20,Miami,venues google,-64.0,transit_stations
2020-04-20,Miami,venues google,-49.0,workplaces
2020-04-20,Miami,venues google,-67.0,parks
2020-04-21,Miami,venues google,25.0,residential
2020-04-21,Miami,venues google,-49.0,retail_and_recreation
2020-04-21,Miami,venues google,-28.0,grocery_and_pharmacy
2020-04-21,Miami,venues google,-62.0,transit_stations
2020-04-21,Miami,venues google,-50.0,workplaces
2020-04-21,Miami,venues google,-66.0,parks
2020-04-22,Miami,venues google,25.0,residential
2020-04-22,Miami,venues google,-48.0,retail_and_recreation
2020-04-22,Miami,venues google,-26.0,grocery_and_pharmacy
2020-04-22,Miami,venues google,-62.0,transit_stations
2020-04-22,Miami,venues google,-49.0,workplaces
2020-04-22,Miami,venues google,-67.0,parks
2020-04-23,Miami,venues google,25.0,residential
2020-04-23,Miami,venues google,-49.0,retail_and_recreation
2020-04-23,Miami,venues google,-25.0,grocery_and_pharmacy
2020-04-23,Miami,venues google,-63.0,transit_stations
2020-04-23,Miami,venues google,-49.0,workplaces
2020-04-23,Miami,venues google,-68.0,parks
2020-04-24,Miami,venues google,26.0,residential
2020-04-24,Miami,venues google,-48.0,retail_and_recreation
2020-04-24,Miami,venues google,-24.0,grocery_and_pharmacy
2020-04-24,Miami,venues google,-63.0,transit_stations
2020-04-24,Miami,venues google,-48.0,workplaces
2020-04-24,Miami,venues google,-68.0,parks
2020-04-25,Miami,venues google,19.0,residential
2020-04-25,Miami,venues google,-51.0,retail_and_recreation
2020-04-25,Miami,venues google,-25.0,grocery_and_pharmacy
2020-04-25,Miami,venues google,-64.0,transit_stations
2020-04-25,Miami,venues google,-41.0,workplaces
2020-04-25,Miami,venues google,-76.0,parks
2020-04-26,Miami,venues google,17.0,residential
2020-04-26,Miami,venues google,-57.0,retail_and_recreation
2020-04-26,Miami,venues google,-34.0,grocery_and_pharmacy
2020-04-26,Miami,venues google,-72.0,transit_stations
2020-04-26,Miami,venues google,-43.0,workplaces
2020-04-26,Miami,venues google,-80.0,parks
2020-04-27,Miami,venues google,23.0,residential
2020-04-27,Miami,venues google,-45.0,retail_and_recreation
2020-04-27,Miami,venues google,-24.0,grocery_and_pharmacy
2020-04-27,Miami,venues google,-62.0,transit_stations
2020-04-27,Miami,venues google,-46.0,workplaces
2020-04-27,Miami,venues google,-65.0,parks
2020-04-28,Miami,venues google,18.0,residential
2020-04-28,Miami,venues google,-45.0,retail_and_recreation
2020-04-28,Miami,venues google,-23.0,grocery_and_pharmacy
2020-04-28,Miami,venues google,-59.0,transit_stations
2020-04-28,Miami,venues google,-48.0,workplaces
2020-04-28,Miami,venues google,-64.0,parks
2020-04-29,Miami,venues google,23.0,residential
2020-04-29,Miami,venues google,-45.0,retail_and_recreation
2020-04-29,Miami,venues google,-24.0,grocery_and_pharmacy
2020-04-29,Miami,venues google,-60.0,transit_stations
2020-04-29,Miami,venues google,-47.0,workplaces
2020-04-29,Miami,venues google,-59.0,parks
2020-04-30,Miami,venues google,24.0,residential
2020-04-30,Miami,venues google,-47.0,retail_and_recreation
2020-04-30,Miami,venues google,-26.0,grocery_and_pharmacy
2020-04-30,Miami,venues google,-63.0,transit_stations
2020-04-30,Miami,venues google,-48.0,workplaces
2020-04-30,Miami,venues google,-67.0,parks
2020-05-01,Miami,venues google,23.0,residential
2020-05-01,Miami,venues google,-41.0,retail_and_recreation
2020-05-01,Miami,venues google,-15.0,grocery_and_pharmacy
2020-05-01,Miami,venues google,-60.0,transit_stations
2020-05-01,Miami,venues google,-45.0,workplaces
2020-05-01,Miami,venues google,-55.0,parks
2020-05-02,Miami,venues google,16.0,residential
2020-05-02,Miami,venues google,-46.0,retail_and_recreation
2020-05-02,Miami,venues google,-18.0,grocery_and_pharmacy
2020-05-02,Miami,venues google,-60.0,transit_stations
2020-05-02,Miami,venues google,-37.0,workplaces
2020-05-02,Miami,venues google,-61.0,parks
2020-05-03,Miami,venues google,14.0,residential
2020-05-03,Miami,venues google,-48.0,retail_and_recreation
2020-05-03,Miami,venues google,-22.0,grocery_and_pharmacy
2020-05-03,Miami,venues google,-66.0,transit_stations
2020-05-03,Miami,venues google,-37.0,workplaces
2020-05-03,Miami,venues google,-60.0,parks
2020-05-04,Miami,venues google,21.0,residential
2020-05-04,Miami,venues google,-41.0,retail_and_recreation
2020-05-04,Miami,venues google,-21.0,grocery_and_pharmacy
2020-05-04,Miami,venues google,-60.0,transit_stations
2020-05-04,Miami,venues google,-43.0,workplaces
2020-05-04,Miami,venues google,-54.0,parks
2020-05-05,Miami,venues google,21.0,residential
2020-05-05,Miami,venues google,-39.0,retail_and_recreation
2020-05-05,Miami,venues google,-16.0,grocery_and_pharmacy
2020-05-05,Miami,venues google,-58.0,transit_stations
2020-05-05,Miami,venues google,-44.0,workplaces
2020-05-05,Miami,venues google,-55.0,parks
2020-05-06,Miami,venues google,21.0,residential
2020-05-06,Miami,venues google,-42.0,retail_and_recreation
2020-05-06,Miami,venues google,-19.0,grocery_and_pharmacy
2020-05-06,Miami,venues google,-59.0,transit_stations
2020-05-06,Miami,venues google,-44.0,workplaces
2020-05-06,Miami,venues google,-56.0,parks
2020-05-07,Miami,venues google,22.0,residential
2020-05-07,Miami,venues google,-42.0,retail_and_recreation
2020-05-07,Miami,venues google,-17.0,grocery_and_pharmacy
2020-05-07,Miami,venues google,-59.0,transit_stations
2020-05-07,Miami,venues google,-44.0,workplaces
2020-05-07,Miami,venues google,-54.0,parks
2020-05-08,Miami,venues google,22.0,residential
2020-05-08,Miami,venues google,-40.0,retail_and_recreation
2020-05-08,Miami,venues google,-11.0,grocery_and_pharmacy
2020-05-08,Miami,venues google,-57.0,transit_stations
2020-05-08,Miami,venues google,-42.0,workplaces
2020-05-08,Miami,venues google,-51.0,parks
2020-05-09,Miami,venues google,14.0,residential
2020-05-09,Miami,venues google,-42.0,retail_and_recreation
2020-05-09,Miami,venues google,-4.0,grocery_and_pharmacy
2020-05-09,Miami,venues google,-57.0,transit_stations
2020-05-09,Miami,venues google,-34.0,workplaces
2020-05-09,Miami,venues google,-57.0,parks
2020-05-10,Miami,venues google,13.0,residential
2020-05-10,Miami,venues google,-50.0,retail_and_recreation
2020-05-10,Miami,venues google,-20.0,grocery_and_pharmacy
2020-05-10,Miami,venues google,-67.0,transit_stations
2020-05-10,Miami,venues google,-36.0,workplaces
2020-05-10,Miami,venues google,-80.0,parks
2020-05-11,Miami,venues google,20.0,residential
2020-05-11,Miami,venues google,-42.0,retail_and_recreation
2020-05-11,Miami,venues google,-23.0,grocery_and_pharmacy
2020-05-11,Miami,venues google,-59.0,transit_stations
2020-05-11,Miami,venues google,-42.0,workplaces
2020-05-11,Miami,venues google,-54.0,parks
2020-05-12,Miami,venues google,21.0,residential
2020-05-12,Miami,venues google,-40.0,retail_and_recreation
2020-05-12,Miami,venues google,-19.0,grocery_and_pharmacy
2020-05-12,Miami,venues google,-56.0,transit_stations
2020-05-12,Miami,venues google,-42.0,workplaces
2020-05-12,Miami,venues google,-49.0,parks
2020-05-13,Miami,venues google,21.0,residential
2020-05-13,Miami,venues google,-40.0,retail_and_recreation
2020-05-13,Miami,venues google,-20.0,grocery_and_pharmacy
2020-05-13,Miami,venues google,-57.0,transit_stations
2020-05-13,Miami,venues google,-41.0,workplaces
2020-05-13,Miami,venues google,-52.0,parks
2020-05-14,Miami,venues google,20.0,residential
2020-05-14,Miami,venues google,-43.0,retail_and_recreation
