date,location,src,value
2020-03-06,San Francisco,mobility_average_person,3.8369999999999997
2020-03-07,San Francisco,mobility_average_person,3.065
2020-03-08,San Francisco,mobility_average_person,2.622
2020-03-09,San Francisco,mobility_average_person,2.699
2020-03-10,San Francisco,mobility_average_person,2.8939999999999997
2020-03-11,San Francisco,mobility_average_person,3.005
2020-03-12,San Francisco,mobility_average_person,2.79
2020-03-13,San Francisco,mobility_average_person,2.984
2020-03-14,San Francisco,mobility_average_person,1.305
2020-03-15,San Francisco,mobility_average_person,0.6709999999999999
2020-03-16,San Francisco,mobility_average_person,1.6480000000000001
2020-03-17,San Francisco,mobility_average_person,0.069
2020-03-18,San Francisco,mobility_average_person,0.08199999999999999
2020-03-19,San Francisco,mobility_average_person,0.042
2020-03-20,San Francisco,mobility_average_person,0.11699999999999999
2020-03-21,San Francisco,mobility_average_person,0.036000000000000004
2020-03-22,San Francisco,mobility_average_person,0.042
2020-03-23,San Francisco,mobility_average_person,0.034
2020-03-24,San Francisco,mobility_average_person,0.027000000000000003
2020-03-25,San Francisco,mobility_average_person,0.042
2020-03-26,San Francisco,mobility_average_person,0.028999999999999998
2020-03-27,San Francisco,mobility_average_person,0.038
2020-03-28,San Francisco,mobility_average_person,0.025
2020-03-29,San Francisco,mobility_average_person,0.021
2020-03-30,San Francisco,mobility_average_person,0.03
2020-03-31,San Francisco,mobility_average_person,0.028999999999999998
2020-04-01,San Francisco,mobility_average_person,0.026000000000000002
2020-04-02,San Francisco,mobility_average_person,0.042
2020-04-03,San Francisco,mobility_average_person,0.043
2020-04-04,San Francisco,mobility_average_person,0.025
2020-04-05,San Francisco,mobility_average_person,0.02
2020-04-06,San Francisco,mobility_average_person,0.023
2020-04-07,San Francisco,mobility_average_person,0.033
2020-04-08,San Francisco,mobility_average_person,0.025
2020-04-09,San Francisco,mobility_average_person,0.027999999999999997
2020-04-10,San Francisco,mobility_average_person,0.05
2020-04-11,San Francisco,mobility_average_person,0.027000000000000003
2020-04-12,San Francisco,mobility_average_person,0.019
2020-04-13,San Francisco,mobility_average_person,0.03
2020-04-14,San Francisco,mobility_average_person,0.027999999999999997
2020-04-15,San Francisco,mobility_average_person,0.027000000000000003
2020-04-16,San Francisco,mobility_average_person,0.024
2020-04-17,San Francisco,mobility_average_person,0.033
2020-04-18,San Francisco,mobility_average_person,0.028999999999999998
2020-04-19,San Francisco,mobility_average_person,0.027000000000000003
2020-04-21,San Francisco,mobility_average_person,0.025
2020-04-22,San Francisco,mobility_average_person,0.027000000000000003
2020-04-23,San Francisco,mobility_average_person,0.026000000000000002
2020-04-24,San Francisco,mobility_average_person,0.032
2020-04-25,San Francisco,mobility_average_person,0.028999999999999998
2020-04-26,San Francisco,mobility_average_person,0.022000000000000002
2020-04-27,San Francisco,mobility_average_person,0.023
2020-04-28,San Francisco,mobility_average_person,0.027000000000000003
2020-04-29,San Francisco,mobility_average_person,0.024
2020-04-30,San Francisco,mobility_average_person,0.034
2020-05-01,San Francisco,mobility_average_person,0.052000000000000005
2020-05-02,San Francisco,mobility_average_person,0.036000000000000004
2020-05-03,San Francisco,mobility_average_person,0.04
2020-05-04,San Francisco,mobility_average_person,0.028999999999999998
2020-05-05,San Francisco,mobility_average_person,0.025
2020-05-06,San Francisco,mobility_average_person,0.031
2020-05-07,San Francisco,mobility_average_person,0.026000000000000002
2020-05-08,San Francisco,mobility_average_person,0.026000000000000002
2020-05-09,San Francisco,mobility_average_person,0.027000000000000003
2020-05-10,San Francisco,mobility_average_person,0.025
2020-05-11,San Francisco,mobility_average_person,0.023
2020-05-12,San Francisco,mobility_average_person,0.023
2020-05-13,San Francisco,mobility_average_person,0.025
2020-05-14,San Francisco,mobility_average_person,0.023
2020-05-15,San Francisco,mobility_average_person,0.14800000000000002
2020-05-16,San Francisco,mobility_average_person,0.091
2020-05-17,San Francisco,mobility_average_person,0.034
2020-05-18,San Francisco,mobility_average_person,0.034
2020-05-19,San Francisco,mobility_average_person,0.049
2020-05-20,San Francisco,mobility_average_person,0.064
2020-05-21,San Francisco,mobility_average_person,0.11199999999999999
2020-05-22,San Francisco,mobility_average_person,0.301
2020-05-23,San Francisco,mobility_average_person,0.156
2020-05-24,San Francisco,mobility_average_person,0.146
2020-05-25,San Francisco,mobility_average_person,0.071
2020-05-26,San Francisco,mobility_average_person,0.142
2020-05-27,San Francisco,mobility_average_person,0.09
2020-05-28,San Francisco,mobility_average_person,0.165
2020-05-30,San Francisco,mobility_average_person,0.06
2020-05-31,San Francisco,mobility_average_person,0.057999999999999996
2020-06-01,San Francisco,mobility_average_person,0.11599999999999999
2020-06-02,San Francisco,mobility_average_person,0.22699999999999998
2020-06-03,San Francisco,mobility_average_person,0.18600000000000005
2020-06-04,San Francisco,mobility_average_person,0.311
2020-06-05,San Francisco,mobility_average_person,0.461
2020-06-06,San Francisco,mobility_average_person,0.493
2020-06-07,San Francisco,mobility_average_person,0.07200000000000001
2020-06-08,San Francisco,mobility_average_person,0.436
2020-06-09,San Francisco,mobility_average_person,0.083
2020-06-10,San Francisco,mobility_average_person,0.488
2020-06-11,San Francisco,mobility_average_person,0.423
2020-06-12,San Francisco,mobility_average_person,0.479
2020-06-13,San Francisco,mobility_average_person,0.732
2020-06-14,San Francisco,mobility_average_person,0.134
2020-06-15,San Francisco,mobility_average_person,0.282
