EGENDER,RHISPANIC,RRACE,EEDUC,MS,INCOME,ONLINE,PICK-UP,IN-STORE,RFID-NFC,CASH,AVOID RESTR,RESUME RESTR,NUMADLT,NUMKID
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,GRADUATE,MARRIED,LEVEL5,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,+CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL2,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,MARRIED,LEVEL8,+ONLINE,-PICKUP,+INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,BACHELOR,DIVOCED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,NEVER MARRIED,LEVEL3,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL3
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,SEPARATED,LEVEL7,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,DIVOCED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,BACHELOR,NEVER MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_COMBINATION,BACHELOR,DIVOCED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_COMBINATION,SOME_COLLEGE,MARRIED,LEVEL4,-ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,WIDOWED,LEVEL4,-ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,ASSOCIATE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL3,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL3,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL3,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,BACHELOR,DIVOCED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL4,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,DIVOCED,LEVEL4,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_COMBINATION,ASSOCIATE,NEVER MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL3,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL4,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,DIVOCED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,NEVER MARRIED,LEVEL5,-ONLINE,-PICKUP,+INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL8,-ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,HISPANIC,RACE_ASIAN,ASSOCIATE,MARRIED,LEVEL1,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,DIVOCED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_COMBINATION,GRADUATE,NEVER MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,ASSOCIATE,MARRIED,LEVEL4,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,NEVER MARRIED,LEVEL5,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL2,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,HISPANIC,RACE_BLACK,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,DIVOCED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
