date,location,src,value
2020-04-07,Miami,mobility regular member,0.282
2020-04-08,Miami,mobility regular member,0.262
2020-04-09,Miami,mobility regular member,0.34600000000000003
2020-04-10,Miami,mobility regular member,0.624
2020-04-11,Miami,mobility regular member,0.052000000000000005
2020-04-12,Miami,mobility regular member,0.032
2020-04-13,Miami,mobility regular member,0.45399999999999996
2020-04-14,Miami,mobility regular member,0.391
2020-04-15,Miami,mobility regular member,0.607
2020-04-16,Miami,mobility regular member,0.6779999999999999
2020-04-17,Miami,mobility regular member,1.304
2020-04-18,Miami,mobility regular member,0.35
2020-04-19,Miami,mobility regular member,0.048
2020-04-21,Miami,mobility regular member,1.4169999999999998
2020-04-22,Miami,mobility regular member,1.5659999999999998
2020-04-23,Miami,mobility regular member,1.732
2020-04-24,Miami,mobility regular member,2.055
2020-04-25,Miami,mobility regular member,0.83
2020-04-26,Miami,mobility regular member,0.055
2020-04-27,Miami,mobility regular member,1.716
2020-04-28,Miami,mobility regular member,2.004
2020-04-29,Miami,mobility regular member,2.101
2020-04-30,Miami,mobility regular member,1.9769999999999999
2020-05-01,Miami,mobility regular member,3.094
2020-05-02,Miami,mobility regular member,1.7590000000000001
2020-05-03,Miami,mobility regular member,0.7070000000000001
2020-05-04,Miami,mobility regular member,1.58
2020-05-05,Miami,mobility regular member,2.383
2020-05-06,Miami,mobility regular member,3.06
2020-05-07,Miami,mobility regular member,2.24
2020-05-08,Miami,mobility regular member,2.9530000000000003
2020-05-09,Miami,mobility regular member,2.167
2020-05-10,Miami,mobility regular member,0.41700000000000004
2020-05-11,Miami,mobility regular member,1.2009999999999998
2020-05-12,Miami,mobility regular member,2.31
2020-05-13,Miami,mobility regular member,1.591
2020-05-14,Miami,mobility regular member,1.365
2020-05-15,Miami,mobility regular member,1.946
2020-05-16,Miami,mobility regular member,1.975
2020-05-17,Miami,mobility regular member,0.816
2020-05-18,Miami,mobility regular member,2.432
2020-05-19,Miami,mobility regular member,2.356
2020-05-20,Miami,mobility regular member,3.4960000000000004
2020-05-21,Miami,mobility regular member,3.625
2020-05-22,Miami,mobility regular member,4.569
2020-05-23,Miami,mobility regular member,2.989
2020-05-24,Miami,mobility regular member,0.21899999999999997
2020-05-25,Miami,mobility regular member,0.165
2020-05-26,Miami,mobility regular member,3.43
2020-05-27,Miami,mobility regular member,3.91
2020-05-28,Miami,mobility regular member,4.064
2020-05-30,Miami,mobility regular member,3.346
2020-05-31,Miami,mobility regular member,0.981
2020-06-01,Miami,mobility regular member,4.255
2020-06-02,Miami,mobility regular member,3.719
2020-06-03,Miami,mobility regular member,4.699
2020-06-04,Miami,mobility regular member,4.178
2020-06-05,Miami,mobility regular member,4.968
2020-06-06,Miami,mobility regular member,3.699
2020-06-07,Miami,mobility regular member,1.867
2020-06-08,Miami,mobility regular member,4.558
2020-06-09,Miami,mobility regular member,5.225
2020-06-10,Miami,mobility regular member,4.671
2020-06-11,Miami,mobility regular member,5.124
2020-06-12,Miami,mobility regular member,4.688
2020-06-13,Miami,mobility regular member,4.271
2020-06-14,Miami,mobility regular member,1.6280000000000001
2020-06-15,Miami,mobility regular member,3.636
2020-06-16,Miami,mobility regular member,4.19
2020-06-17,Miami,mobility regular member,5.169
2020-06-18,Miami,mobility regular member,5.038
2020-06-19,Miami,mobility regular member,5.511
2020-06-20,Miami,mobility regular member,4.003
2020-06-21,Miami,mobility regular member,2.356
2020-06-22,Miami,mobility regular member,4.0569999999999995
2020-06-23,Miami,mobility regular member,5.022
2020-06-24,Miami,mobility regular member,4.78
2020-06-25,Miami,mobility regular member,5.356
2020-06-26,Miami,mobility regular member,5.487
2020-06-27,Miami,mobility regular member,4.178
2020-06-28,Miami,mobility regular member,2.333
2020-06-29,Miami,mobility regular member,4.086
2020-06-30,Miami,mobility regular member,5.065
2020-07-01,Miami,mobility regular member,4.957
2020-07-02,Miami,mobility regular member,4.9239999999999995
2020-07-03,Miami,mobility regular member,4.4830000000000005
2020-07-04,Miami,mobility regular member,2.463
2020-07-05,Miami,mobility regular member,1.32
2020-07-06,Miami,mobility regular member,4.069
2020-07-07,Miami,mobility regular member,4.768
2020-07-08,Miami,mobility regular member,5.13
2020-07-09,Miami,mobility regular member,4.97
2020-07-10,Miami,mobility regular member,5.307
2020-07-11,Miami,mobility regular member,3.4330000000000003
2020-07-12,Miami,mobility regular member,2.6910000000000003
2020-07-13,Miami,mobility regular member,4.872
2020-07-14,Miami,mobility regular member,5.834
2020-07-15,Miami,mobility regular member,5.064
2020-07-16,Miami,mobility regular member,4.581
2020-07-17,Miami,mobility regular member,6.475
2020-07-18,Miami,mobility regular member,2.889
2020-07-19,Miami,mobility regular member,1.97
2020-07-20,Miami,mobility regular member,3.668
2020-07-21,Miami,mobility regular member,3.8289999999999997
2020-07-22,Miami,mobility regular member,3.702
2020-07-23,Miami,mobility regular member,3.8489999999999998
2020-07-24,Miami,mobility regular member,4.79
2020-07-25,Miami,mobility regular member,2.892
2020-07-26,Miami,mobility regular member,1.3559999999999999
2020-07-27,Miami,mobility regular member,3.6639999999999997
2020-07-28,Miami,mobility regular member,4.244
2020-07-29,Miami,mobility regular member,4.07
2020-07-30,Miami,mobility regular member,4.24
2020-07-31,Miami,mobility regular member,4.512
2020-08-01,Miami,mobility regular member,1.217
2020-08-02,Miami,mobility regular member,0.045
2020-08-03,Miami,mobility regular member,3.028
2020-08-04,Miami,mobility regular member,4.439
2020-08-05,Miami,mobility regular member,4.726
2020-08-06,Miami,mobility regular member,4.272
2020-08-07,Miami,mobility regular member,5.055
2020-08-08,Miami,mobility regular member,4.172
2020-08-09,Miami,mobility regular member,1.9
2020-08-10,Miami,mobility regular member,4.513
2020-08-11,Miami,mobility regular member,4.949
2020-08-12,Miami,mobility regular member,4.707
2020-08-13,Miami,mobility regular member,4.925
2020-08-14,Miami,mobility regular member,5.5760000000000005
2020-08-15,Miami,mobility regular member,4.501
2020-08-16,Miami,mobility regular member,1.81
2020-08-17,Miami,mobility regular member,4.329
2020-08-18,Miami,mobility regular member,4.895
2020-08-19,Miami,mobility regular member,4.529
2020-08-20,Miami,mobility regular member,5.0680000000000005
2020-08-21,Miami,mobility regular member,6.188
2020-08-22,Miami,mobility regular member,4.663
2020-08-23,Miami,mobility regular member,2.318
2020-08-24,Miami,mobility regular member,4.687
2020-08-25,Miami,mobility regular member,5.386
2020-08-26,Miami,mobility regular member,5.541
2020-08-27,Miami,mobility regular member,5.332999999999998
2020-08-28,Miami,mobility regular member,6.269
2020-08-29,Miami,mobility regular member,4.994
2020-08-30,Miami,mobility regular member,2.184
2020-08-31,Miami,mobility regular member,4.19
2020-09-01,Miami,mobility regular member,4.965
2020-09-02,Miami,mobility regular member,5.528
2020-09-03,Miami,mobility regular member,5.572
2020-09-04,Miami,mobility regular member,6.226
2020-09-05,Miami,mobility regular member,4.626
2020-09-06,Miami,mobility regular member,2.992
2020-09-07,Miami,mobility regular member,2.759
2020-09-08,Miami,mobility regular member,4.643
2020-09-09,Miami,mobility regular member,4.9510000000000005
2020-09-10,Miami,mobility regular member,5.086
2020-09-11,Miami,mobility regular member,6.013999999999999
2020-09-12,Miami,mobility regular member,2.97
2020-09-13,Miami,mobility regular member,2.233
2020-09-14,Miami,mobility regular member,4.878
2020-09-15,Miami,mobility regular member,4.3919999999999995
2020-09-16,Miami,mobility regular member,5.652
2020-09-17,Miami,mobility regular member,5.626
2020-09-18,Miami,mobility regular member,6.585
2020-09-19,Miami,mobility regular member,4.923
2020-09-20,Miami,mobility regular member,2.807
2020-09-21,Miami,mobility regular member,4.052
2020-09-22,Miami,mobility regular member,4.444
2020-09-23,Miami,mobility regular member,5.517
2020-09-24,Miami,mobility regular member,5.341
2020-09-25,Miami,mobility regular member,5.912000000000001
2020-09-26,Miami,mobility regular member,4.9860000000000015
2020-09-27,Miami,mobility regular member,3.333
2020-09-28,Miami,mobility regular member,5.303999999999999
2020-09-29,Miami,mobility regular member,5.934
2020-09-30,Miami,mobility regular member,6.346
2020-10-01,Miami,mobility regular member,6.702999999999999
2020-10-02,Miami,mobility regular member,6.952999999999999
2020-10-03,Miami,mobility regular member,4.479
2020-10-04,Miami,mobility regular member,2.875
2020-10-05,Miami,mobility regular member,4.872
2020-10-06,Miami,mobility regular member,5.685
2020-10-07,Miami,mobility regular member,6.05
2020-10-09,Miami,mobility regular member,6.097
2020-10-10,Miami,mobility regular member,5.251
2020-10-11,Miami,mobility regular member,3.385
2020-10-12,Miami,mobility regular member,5.195
2020-10-13,Miami,mobility regular member,5.867999999999999
2020-10-14,Miami,mobility regular member,6.164
2020-10-15,Miami,mobility regular member,6.322
2020-10-16,Miami,mobility regular member,6.7070000000000025
2020-10-17,Miami,mobility regular member,5.902
2020-10-18,Miami,mobility regular member,3.622
2020-10-19,Miami,mobility regular member,5.499
2020-10-20,Miami,mobility regular member,5.803
2020-10-21,Miami,mobility regular member,5.4460000000000015
2020-10-22,Miami,mobility regular member,6.005
2020-10-23,Miami,mobility regular member,7.068
2020-10-24,Miami,mobility regular member,5.276
2020-10-25,Miami,mobility regular member,2.617
2020-10-26,Miami,mobility regular member,5.2379999999999995
2020-10-27,Miami,mobility regular member,5.612
2020-10-28,Miami,mobility regular member,5.972
2020-10-29,Miami,mobility regular member,6.0420000000000025
2020-10-30,Miami,mobility regular member,6.697
2020-01-13,Miami,transit,100.0
2020-01-14,Miami,transit,99.91
2020-01-15,Miami,transit,100.02
2020-01-16,Miami,transit,101.38
2020-01-17,Miami,transit,99.07
2020-01-18,Miami,transit,90.66
2020-01-19,Miami,transit,77.52
2020-01-20,Miami,transit,91.11
2020-01-21,Miami,transit,98.34
2020-01-22,Miami,transit,90.83
2020-01-23,Miami,transit,94.63
2020-01-24,Miami,transit,102.02
2020-01-25,Miami,transit,89.63
2020-01-26,Miami,transit,72.92
2020-01-27,Miami,transit,98.79
2020-01-28,Miami,transit,98.94
2020-01-29,Miami,transit,99.81
2020-01-30,Miami,transit,104.0
2020-01-31,Miami,transit,111.53
2020-02-01,Miami,transit,97.23
2020-02-02,Miami,transit,81.54
2020-02-03,Miami,transit,100.71
2020-02-04,Miami,transit,99.65
2020-02-05,Miami,transit,101.14
2020-02-06,Miami,transit,104.71
2020-02-07,Miami,transit,99.92
2020-02-08,Miami,transit,93.25
2020-02-09,Miami,transit,81.54
2020-02-10,Miami,transit,102.08
2020-02-11,Miami,transit,100.78
2020-02-12,Miami,transit,102.15
2020-02-13,Miami,transit,106.68
2020-02-14,Miami,transit,108.21
2020-02-15,Miami,transit,87.61
2020-02-16,Miami,transit,80.75
2020-02-17,Miami,transit,100.39
2020-02-18,Miami,transit,105.14
2020-02-19,Miami,transit,103.4
2020-02-20,Miami,transit,103.14
2020-02-21,Miami,transit,106.78
2020-02-22,Miami,transit,94.75
2020-02-23,Miami,transit,80.49
2020-02-24,Miami,transit,102.52
2020-02-25,Miami,transit,103.4
2020-02-26,Miami,transit,101.92
2020-02-27,Miami,transit,99.41
2020-02-28,Miami,transit,103.83
2020-02-29,Miami,transit,94.08
2020-03-01,Miami,transit,78.62
2020-03-02,Miami,transit,101.48
2020-03-03,Miami,transit,100.25
2020-03-04,Miami,transit,104.76
2020-03-05,Miami,transit,103.77
2020-03-06,Miami,transit,104.24
2020-03-07,Miami,transit,93.01
2020-03-08,Miami,transit,75.9
2020-03-09,Miami,transit,101.76
2020-03-10,Miami,transit,101.2
2020-03-11,Miami,transit,98.4
2020-03-12,Miami,transit,90.22
2020-03-13,Miami,transit,87.73
2020-03-14,Miami,transit,77.2
2020-03-15,Miami,transit,62.73
2020-03-16,Miami,transit,70.88
2020-03-17,Miami,transit,59.55
2020-03-18,Miami,transit,54.91
2020-03-19,Miami,transit,48.81
2020-03-20,Miami,transit,46.08
2020-03-21,Miami,transit,37.93
2020-03-22,Miami,transit,31.97
2020-03-23,Miami,transit,37.63
2020-03-24,Miami,transit,36.99
2020-03-25,Miami,transit,36.21
2020-03-26,Miami,transit,34.42
2020-03-27,Miami,transit,35.45
2020-03-28,Miami,transit,30.95
2020-03-29,Miami,transit,27.22
2020-03-30,Miami,transit,33.86
2020-03-31,Miami,transit,34.24
2020-04-01,Miami,transit,31.18
2020-04-02,Miami,transit,29.73
2020-04-03,Miami,transit,29.54
2020-04-04,Miami,transit,27.86
2020-04-05,Miami,transit,24.05
2020-04-06,Miami,transit,28.32
2020-04-07,Miami,transit,28.04
2020-04-08,Miami,transit,29.64
2020-04-09,Miami,transit,29.78
2020-04-10,Miami,transit,29.39
2020-04-11,Miami,transit,26.74
2020-04-12,Miami,transit,22.43
2020-04-13,Miami,transit,29.61
2020-04-14,Miami,transit,29.2
2020-04-15,Miami,transit,28.06
2020-04-16,Miami,transit,28.14
2020-04-17,Miami,transit,30.06
2020-04-18,Miami,transit,27.05
2020-04-19,Miami,transit,24.69
2020-04-20,Miami,transit,30.64
2020-04-21,Miami,transit,31.41
2020-04-22,Miami,transit,29.31
2020-04-23,Miami,transit,30.41
2020-04-24,Miami,transit,32.98
2020-04-25,Miami,transit,30.16
2020-04-26,Miami,transit,25.44
2020-04-27,Miami,transit,32.78
2020-04-28,Miami,transit,33.41
2020-04-29,Miami,transit,33.44
2020-04-30,Miami,transit,30.94
2020-05-01,Miami,transit,35.28
2020-05-02,Miami,transit,32.66
2020-05-03,Miami,transit,30.07
2020-05-04,Miami,transit,37.91
2020-05-05,Miami,transit,38.6
2020-05-06,Miami,transit,37.76
2020-05-07,Miami,transit,36.02
2020-05-08,Miami,transit,38.93
2020-05-09,Miami,transit,37.17
2020-05-10,Miami,transit,26.61
2020-05-11,Miami,transit,26.61
2020-05-12,Miami,transit,26.61
2020-05-13,Miami,transit,39.46
2020-05-14,Miami,transit,37.07
2020-05-15,Miami,transit,34.91
2020-05-16,Miami,transit,36.15
2020-05-17,Miami,transit,33.99
2020-05-18,Miami,transit,39.96
2020-05-19,Miami,transit,42.44
2020-05-20,Miami,transit,42.85
2020-05-21,Miami,transit,42.04
2020-05-22,Miami,transit,46.38
2020-05-23,Miami,transit,41.69
2020-05-24,Miami,transit,30.6
2020-05-25,Miami,transit,33.56
2020-05-26,Miami,transit,44.75
2020-05-27,Miami,transit,46.19
2020-05-28,Miami,transit,49.1
2020-05-29,Miami,transit,50.31
2020-05-30,Miami,transit,47.88
2020-05-31,Miami,transit,38.79
2020-06-01,Miami,transit,49.15
2020-06-02,Miami,transit,49.24
2020-06-03,Miami,transit,45.99
2020-06-04,Miami,transit,46.36
2020-06-05,Miami,transit,51.74
2020-06-06,Miami,transit,47.93
2020-06-07,Miami,transit,44.36
2020-06-08,Miami,transit,55.74
2020-06-09,Miami,transit,57.09
2020-06-10,Miami,transit,57.67
2020-06-11,Miami,transit,57.6
2020-06-12,Miami,transit,59.57
2020-06-13,Miami,transit,54.91
2020-06-14,Miami,transit,45.74
2020-06-15,Miami,transit,58.88
2020-06-16,Miami,transit,60.16
2020-06-17,Miami,transit,56.02
2020-06-18,Miami,transit,54.17
2020-06-19,Miami,transit,57.38
2020-06-20,Miami,transit,54.49
2020-06-21,Miami,transit,44.47
2020-06-22,Miami,transit,60.06
2020-06-23,Miami,transit,60.59
2020-06-24,Miami,transit,60.38
2020-06-25,Miami,transit,59.31
2020-06-26,Miami,transit,59.11
2020-06-27,Miami,transit,57.0
2020-06-28,Miami,transit,48.96
2020-06-29,Miami,transit,58.33
2020-06-30,Miami,transit,59.58
2020-07-01,Miami,transit,57.0
2020-07-02,Miami,transit,55.23
2020-07-03,Miami,transit,53.65
2020-07-04,Miami,transit,44.55
2020-07-05,Miami,transit,40.57
