ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
KSo_iNGEujNKPxy-WFZFyw,City Hall Bistro,4.5,193,$$,['delivery'],False,"Modern European, Spanish, Italian","modern_european, spanish, italian",32.7799,-96.79967,US,TX,Dallas,75202
CREIs-59rrp8OhG9VppCqA,Ellen's,4.0,2686,$$,"['delivery', 'restaurant_reservation']",False,"Southern, American (Traditional), Breakfast & Brunch","southern, tradamerican, breakfast_brunch",32.7818955295251,-96.8076125410698,US,TX,Dallas,75202
whIWTPTID5M4ooWp35dMDA,Chop House Burger,4.0,539,$$,"['delivery', 'pickup']",False,Burgers,burgers,32.7807758,-96.7993548,US,TX,Dallas,75201
Ihmg2gvybDPIUiIRcIfFmg,Royal 38,4.5,14,,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.78948,-96.80563,US,TX,Dallas,75201
COpsoDr4gySfYDIMJ_qtEQ,Frankie's Downtown,4.0,501,$$,,False,"Sports Bars, American (Traditional), Breakfast & Brunch","sportsbars, tradamerican, breakfast_brunch",32.7804885,-96.8006992,US,TX,Dallas,75202
bB2ai7iXzB-CJFc1tcVXTw,Twisted Trompo,4.0,366,$,"['delivery', 'pickup']",False,"Mexican, Breakfast & Brunch","mexican, breakfast_brunch",32.7795635919134,-96.8013510954492,US,TX,Dallas,75202
ZqIshPGXEOFoXq71Gfum1g,Harwood Arms,4.0,6,,,False,"Fish & Chips, Whiskey Bars","fishnchips, whiskeybars",32.79495,-96.80901,US,TX,Dallas,75201
gsgAjzg_353PdHshdbcBRw,Wow Bao,1.0,2,,,False,"Food Delivery Services, Asian Fusion","fooddeliveryservices, asianfusion",32.78711,-96.79543,US,TX,Dallas,75201
Okn7XeuDEyaJTFRckC_vGQ,Otto's Coffee and Fine Foods,4.5,113,$,['delivery'],False,Cafes,cafes,32.7798649342387,-96.7999625193537,US,TX,Dallas,75202
HKEVpLN-OTU6hsXSM_SAIg,The Mitchell,4.0,112,$$,,False,"Bars, American (New)","bars, newamerican",32.7800932324671,-96.800259124982,US,TX,Dallas,75202
K6WTnxvhq8ppvj8v7TtQHA,Spice In The City Dallas,4.0,422,$$,"['delivery', 'pickup']",False,"Indian, Tex-Mex, Halal","indpak, tex-mex, halal",32.77998,-96.798,US,TX,Dallas,75201
vwQnJlj90NgYbbbVLQSpFg,Meso Maya Comida y Copas,4.5,2245,$$,['delivery'],False,"Mexican, New Mexican Cuisine","mexican, newmexican",32.7877819354234,-96.8049378803092,US,TX,Dallas,75202
AiUeb9L9Na9NbMyXJ204ZA,Rise + Thyme Cafe,4.5,13,,,False,"Breakfast & Brunch, Coffee & Tea","breakfast_brunch, coffee",32.77929,-96.80001,US,TX,Dallas,75202
IOdz8GcOx8WRKqsK2DCjfw,Nick & Sam's,4.0,1315,$$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.798462335543,-96.8074539666488,US,TX,Dallas,75201
5yAcCvXU_gPK1z_PAGv-QA,The Exchange,5.0,2,,,False,Food Court,food_court,32.77929,-96.80001,US,TX,Dallas,75202
tE1mxJF_wHvAq7rVlJMmBg,Midnight Rambler,4.0,189,$$,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.7807376,-96.7984467,US,TX,Dallas,75201
2du8UWngTa8anhmmYa-HdQ,Sky Blossom,4.0,109,$$,"['delivery', 'pickup']",False,"Vietnamese, Asian Fusion, Bars","vietnamese, asianfusion, bars",32.7812,-96.79903,US,TX,Dallas,75201
HpFbDC5PGQscdj49j6GaSw,The Empanada Cookhouse,4.5,53,,"['delivery', 'pickup']",False,"Empanadas, Latin American","empanadas, latin",32.7824625,-96.8048533,US,TX,Dallas,75202
8B2asBf5t77_9V2RH20YPg,WingBucket,4.0,525,$$,"['delivery', 'pickup']",False,"Chicken Wings, Chicken Shop, Soul Food","chicken_wings, chickenshop, soulfood",32.7800568007201,-96.8015836662705,US,TX,Dallas,75202
iQMXjmLL2ER_lljf404j-A,La Tarte Tropézienne,4.5,33,,,False,"Desserts, Patisserie/Cake Shop, French","desserts, cakeshop, french",32.7810076628829,-96.7973130941391,US,TX,Dallas,75201
Il32ChEdjkd5fxk0i-wf0A,Momo Shack Himalayan Dumplings,4.5,24,$,,False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",32.7840614318848,-96.794548034668,US,TX,Dallas,75201
OseLHyUULSVhYyyrr6okFg,Bullion,4.5,182,$$$,['delivery'],False,"Brasseries, Bars","brasseries, bars",32.77664,-96.805583,US,TX,Dallas,75202
yVuzaTxmVo3VqClZ5ID7aw,Texas Spice,4.0,403,$$,['delivery'],False,American (New),newamerican,32.7758770087906,-96.8047791739758,US,TX,Dallas,75202
sqhaTs9xc3G8OWHihGBipQ,Terry Black's Barbecue,4.5,396,$$,['delivery'],False,Barbeque,bbq,32.78488,-96.77984,US,TX,Dallas,75226
CNbNYbDVKUP8Cuv9RKTnvA,Nobu,4.0,575,$$$$,['delivery'],False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",32.794255,-96.803958,US,TX,Dallas,75201
DFDzmTV_piFkr7AeKO8E6A,The French Room,4.0,102,$$$$,,False,French,french,32.7800839465349,-96.7997282,US,TX,Dallas,75202
_MCZEs60lSri5jAdcqTiYQ,Bread Zeppelin Salads Elevated,4.0,151,$$,"['delivery', 'pickup']",False,"Salad, Sandwiches","salad, sandwiches",32.7799819,-96.8006744,US,TX,Dallas,75202
NgYw4oLuhrUmHmR-icZJ6w,Town Hearth,4.5,519,$$$,['delivery'],False,"American (Traditional), Seafood, Steakhouses","tradamerican, seafood, steak",32.79229,-96.822169,US,TX,Dallas,75207
1c-mSsWDHrTbGNC0CEOpSA,Pizza Leila,5.0,16,,['delivery'],False,Pizza,pizza,32.788005,-96.799673,US,TX,Dallas,75201
