i,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
92,rMuLW1qVB-deU5NStYerWA,Sushirrito,4.0,1535,$$,"['delivery', 'pickup']",False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",37.7902241805415,-122.403766215939,US,CA,San Francisco,94108,"['delivery', 'pickup']"
93,h4kKnPtEKrhimJGRNRvNBQ,Taco Guapo,4.0,21,$$,['delivery'],False,Tacos,tacos,37.79015,-122.40277,US,CA,San Francisco,94104,['delivery']
94,ztL8KI0ed0snCiK88ZUfNw,Perbacco,4.0,2033,$$$,"['delivery', 'pickup']",False,"Italian, Bars","italian, bars",37.7934543812786,-122.399336635582,US,CA,San Francisco,94111,"['delivery', 'pickup']"
95,aINJgFdqCjILgZdsVttnug,Kingbob,4.0,7,,['delivery'],False,Korean,korean,37.79442,-122.40386,US,CA,San Francisco,94111,['delivery']
96,Z_X0WvSmh9DUxBD9xhet9Q,Sam Wo Restaurant,4.0,1080,$,"['delivery', 'pickup']",False,Chinese,chinese,37.7942543029785,-122.405113220215,US,CA,San Francisco,94108,"['delivery', 'pickup']"
97,9GDwCGORwtpgiQJs3K72JA,B44 Catalan Bistro,3.5,1043,$$,"['delivery', 'pickup']",False,"Spanish, Catalan, Cocktail Bars","spanish, catalan, cocktailbars",37.79131,-122.40363,US,CA,San Francisco,94104,"['delivery', 'pickup']"
98,CaqzKTAzHfPOIFkLp7xyBQ,Mendocino Farms,4.0,206,$$,['delivery'],False,"Sandwiches, Salad","sandwiches, salad",37.79278,-122.40219,US,CA,San Francisco,94104,['delivery']
99,VH9Zfe0ip-7LRKrvNT_5Iw,The Boy's Deli,4.0,27,$$,['delivery'],False,"Sandwiches, Breakfast & Brunch, Soup","sandwiches, breakfast_brunch, soup",37.79214,-122.40285,US,CA,San Francisco,94104,['delivery']
100,IrfmgL_zZk3T_G8OzWoqMw,Tripleta,4.5,11,,[],False,"Puerto Rican, Sandwiches","puertorican, sandwiches",37.761695,-122.424087,US,CA,San Francisco,94110,
101,NIxLwW9mdYegtqhxmXjoaQ,Sunset Squares Pizza,4.0,9,,[],False,Pizza,pizza,37.776902,-122.415244,US,CA,San Francisco,94103,
