ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
feufnVt4k_t2eJakDU1bAw,Pläj Scandinavian Restaurant & Bar,4.0,674,$$$,,False,"Scandinavian, Bars","scandinavian, bars",37.7787285,-122.4222183,US,CA,San Francisco,94102
UdRV_X0aah6c2_LLbB8dGg,Yama-chan,4.0,98,$,['delivery'],False,Japanese,japanese,37.785275,-122.429119,US,CA,San Francisco,94115
wCf2GGyEOkaSFE0xCYpgOA,Hai Ky Noodles,4.5,980,$$,['delivery'],False,"Chinese, Vietnamese, Noodles","chinese, vietnamese, noodles",37.7840538024902,-122.417953491211,US,CA,San Francisco,94109
G3nORz3a6ZnHkOwc7xppdw,Lucky Pig,4.0,188,$$,"['pickup', 'delivery']",False,Korean,korean,37.78509974066,-122.417556957263,US,CA,San Francisco,94109
kqk5BoCJU59MC9fH0IB4wQ,Kin Khao,4.0,2138,$$,['delivery'],False,Thai,thai,37.7852278803726,-122.409348137336,US,CA,San Francisco,94102
vLNzJX1ctfP4NNESCFOeGw,Son & Garden,4.5,91,,['delivery'],False,American (New),newamerican,37.783387,-122.419016,US,CA,San Francisco,94109
SxHKYiRVnMd9BnTEaEB-FA,Chic n' Time,5.0,4,,"['pickup', 'delivery']",False,"Chicken Shop, Noodles, Asian Fusion","chickenshop, noodles, asianfusion",37.759907,-122.421268,US,CA,San Francisco,94110
8kck3-K4zYKTJbJko0JlXQ,Farmhouse Kitchen Thai Cuisine,4.0,2673,$$,"['pickup', 'delivery']",False,"Thai, Comfort Food","thai, comfortfood",37.760192883932795,-122.4114188698492,US,CA,San Francisco,94110
XFUQWh46_gISC4jMHlCNmw,Dabao Singapore,5.0,39,,,False,Singaporean,singaporean,37.76342,-122.41751,US,CA,San Francisco,94110
XVPiXV_TPivnr9szB5kc-A,Birdsong,4.5,274,$$$$,,False,American (New),newamerican,37.7793175,-122.4105235,US,CA,San Francisco,94103
eI0DpD2Xx8hFlk7eAdFCqQ,Swan Oyster Depot,4.0,2874,$$,['delivery'],False,Seafood,seafood,37.79083,-122.42097,US,CA,San Francisco,94109
yD9-WrXijc_grVmi_zkCfQ,Hinata,4.5,560,$$$$,['restaurant_reservation'],False,"Sushi Bars, Japanese","sushi, japanese",37.78324,-122.42048,US,CA,San Francisco,94109
8dUaybEPHsZMgr1iKgqgMQ,Sotto Mare Oysteria & Seafood,4.5,3843,$$,"['pickup', 'delivery']",False,"Seafood, Italian, Bars","seafood, italian, bars",37.79979,-122.40834,US,CA,San Francisco,94133
QZQGRJZ4bZCmNoXjs3z1XQ,State Bird Provisions,4.0,2777,$$$,['delivery'],False,"Tapas/Small Plates, American (New), Desserts","tapasmallplates, newamerican, desserts",37.78374,-122.433005,US,CA,San Francisco,94115
KkAVX3Wb7E3lP5F_f_8pXg,Liholiho Yacht Club,4.5,2442,$$$,['delivery'],False,"Bars, American (New), Seafood","bars, newamerican, seafood",37.78818,-122.41458,US,CA,San Francisco,94109
xv8dq_jBNfQkHeX2wJGlAg,Coqueta,4.0,2114,$$$,"['pickup', 'delivery']",False,"Spanish, Tapas/Small Plates","spanish, tapasmallplates",37.798588,-122.396639,US,CA,San Francisco,94111
hqQoVK0vadOX7_4gN1sh3g,Saigon Sandwich,4.5,3364,$,['delivery'],False,"Vietnamese, Sandwiches","vietnamese, sandwiches",37.7831519576568,-122.417318022037,US,CA,San Francisco,94102
xalJwUiV9oMDCHCc6kZhqg,SSAL,4.5,126,$$$,['delivery'],False,Korean,korean,37.79728333,-122.421945,US,CA,San Francisco,94109
GmHNkpAaypi9jclaLI7sDQ,Fermentation Lab,4.5,292,$$,"['pickup', 'delivery']",False,Gastropubs,gastropubs,37.77852,-122.41561,US,CA,San Francisco,94102
Xdx2_n3nk9Td_aSe7E5ARQ,Rich Table,4.0,1243,$$$,['delivery'],False,"American (New), Cocktail Bars, Wine Bars","newamerican, cocktailbars, wine_bars",37.77485,-122.42284,US,CA,San Francisco,94102
VPXezwmTETrwitrzj9BZPA,Dumpling Time,4.0,2007,$$,"['pickup', 'delivery']",False,"Dim Sum, Asian Fusion","dimsum, asianfusion",37.7697533,-122.4022546,US,CA,San Francisco,94103
